time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,27,8,0,0
2026-04-10 00:00:00+00:00,18,6,0,0
2026-04-11 00:00:00+00:00,44,12,0,0
2026-04-12 00:00:00+00:00,8,4,0,0
2026-04-13 00:00:00+00:00,40,11,0,0
2026-04-14 00:00:00+00:00,18,5,0,0
2026-04-15 00:00:00+00:00,10,5,0,0
2026-04-16 00:00:00+00:00,11,4,0,0
2026-04-17 00:00:00+00:00,18,7,0,0
2026-04-18 00:00:00+00:00,19,7,0,0
2026-04-19 00:00:00+00:00,38,14,0,0
2026-04-20 00:00:00+00:00,50,21,0,0
2026-04-21 00:00:00+00:00,64,25,0,0
2026-04-22 00:00:00+00:00,74,33,0,0
