url_path,views_total,views_unique
/hhollandmoritz/git_guide,5,1
/hhollandmoritz/git_guide/tree/master/.github/workflows,4,1
/hhollandmoritz/git_guide/tree/github-repo-stats/hhollandmoritz/git_guide/latest-report,3,1
/hhollandmoritz/git_guide/actions/workflows/github-repo-stats.yml,2,1
/hhollandmoritz/git_guide/blob/github-repo-stats/hhollandmoritz/git_guide/latest-report/report.html,2,1
/hhollandmoritz/git_guide/blob/github-repo-stats/hhollandmoritz/git_guide/latest-report/report.pdf,2,1
/hhollandmoritz/git_guide/new/master,2,1
/hhollandmoritz/git_guide/tree/github-repo-stats/hhollandmoritz/git_guide,2,1
/hhollandmoritz/git_guide/actions,1,1
/hhollandmoritz/git_guide/actions/runs/4949381559,1,1
