time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,12,6,0,0
2026-01-27 00:00:00+00:00,5,3,0,0
2026-01-28 00:00:00+00:00,8,6,0,0
2026-01-29 00:00:00+00:00,5,3,0,0
2026-01-30 00:00:00+00:00,13,7,0,0
2026-01-31 00:00:00+00:00,4,2,0,0
2026-02-01 00:00:00+00:00,15,9,0,0
2026-02-02 00:00:00+00:00,12,6,0,0
2026-02-03 00:00:00+00:00,19,9,0,0
2026-02-04 00:00:00+00:00,20,4,0,0
2026-02-05 00:00:00+00:00,13,7,0,0
2026-02-06 00:00:00+00:00,19,9,0,0
2026-02-07 00:00:00+00:00,5,3,0,0
2026-02-08 00:00:00+00:00,12,6,0,0
