time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,19,8,0,0
2026-05-03 00:00:00+00:00,12,5,0,0
2026-05-04 00:00:00+00:00,24,8,0,0
2026-05-05 00:00:00+00:00,29,8,0,0
2026-05-06 00:00:00+00:00,32,9,0,0
2026-05-07 00:00:00+00:00,11,5,0,0
2026-05-08 00:00:00+00:00,17,6,0,0
2026-05-09 00:00:00+00:00,9,4,0,0
2026-05-10 00:00:00+00:00,13,4,0,0
2026-05-11 00:00:00+00:00,30,8,0,0
2026-05-12 00:00:00+00:00,14,3,1,1
2026-05-13 00:00:00+00:00,10,6,1,1
2026-05-14 00:00:00+00:00,13,4,0,0
2026-05-15 00:00:00+00:00,15,6,0,0
