time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,74,33,0,0
2026-04-23 00:00:00+00:00,100,29,0,0
2026-04-24 00:00:00+00:00,84,31,0,0
2026-04-25 00:00:00+00:00,65,29,0,0
2026-04-26 00:00:00+00:00,32,11,0,0
2026-04-27 00:00:00+00:00,24,8,0,0
2026-04-28 00:00:00+00:00,11,4,0,0
2026-04-29 00:00:00+00:00,28,9,0,0
2026-04-30 00:00:00+00:00,45,10,0,0
2026-05-01 00:00:00+00:00,39,8,0,0
2026-05-02 00:00:00+00:00,19,8,0,0
2026-05-03 00:00:00+00:00,12,5,0,0
2026-05-04 00:00:00+00:00,24,8,0,0
2026-05-05 00:00:00+00:00,29,8,0,0
